Log file produced by: Storyboard Pro (StoryboardPro.exe) version 17.10.1 build 15476 2020-01-31 14:58:30
﻿2020-09-22 22:20:51;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:52;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:52;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:52;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:52;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:52;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:52;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:58;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:58;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:58;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:58;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:58;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:58;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:58;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:58;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:22:47;Delete;C:/Users/Claire/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-17100-pref/Storyboard Pro-pref.xml~; OK 
﻿2020-09-22 22:22:47;Rename;C:/Users/Claire/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-17100-pref/Storyboard Pro-pref.xml;Storyboard Pro-pref.xml~ OK 
﻿2020-09-22 22:22:47;Rename;C:/Users/Claire/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-17100-pref/Storyboard Pro-pref.xml+;Storyboard Pro-pref.xml OK 
﻿2020-09-22 22:22:48;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:48;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:48;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:48;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:49;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:49;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:49;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:49;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:49;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:50;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:50;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:50;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:50;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:50;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:51;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:51;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:53;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:53;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:53;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:53;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:53;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:54;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:22:54;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:22:54;ACTION;begin accum  (CO_CommandManager.cpp,241)
